time,open,high,low,close,tick_volume
2026-05-27 08:45:00,4493.48,4498.13,4491.96,4498.02,2087
2026-05-27 08:50:00,4498.02,4502.37,4496.38,4498.8,1761
2026-05-27 08:55:00,4498.77,4499.79,4496.5,4497.53,1565
2026-05-27 09:00:00,4497.48,4499.23,4493.83,4495.13,1753
2026-05-27 09:05:00,4495.15,4499.05,4493.88,4497.93,1631
2026-05-27 09:10:00,4497.98,4498.6,4493.9,4494.11,1545
2026-05-27 09:15:00,4494.09,4495.95,4486.66,4489.43,1600
2026-05-27 09:20:00,4489.43,4490.46,4483.79,4486.85,1913
2026-05-27 09:25:00,4486.78,4489.16,4483.97,4486.27,1638
2026-05-27 09:30:00,4486.33,4486.54,4479.95,4483.68,2051
2026-05-27 09:35:00,4483.69,4485.68,4480.83,4483.43,1525
2026-05-27 09:40:00,4483.43,4487.72,4482.46,4487.58,1446
2026-05-27 09:45:00,4487.58,4490.24,4486.92,4488.32,1447
2026-05-27 09:50:00,4488.32,4489.35,4486.76,4487.34,1135
2026-05-27 09:55:00,4487.34,4487.76,4483.59,4485.24,1336
2026-05-27 10:00:00,4485.24,4488.48,4485.06,4487.09,1692
2026-05-27 10:05:00,4487.09,4488.53,4483.02,4484.82,1379
2026-05-27 10:10:00,4484.81,4484.88,4480.2,4480.27,1249
2026-05-27 10:15:00,4480.35,4485.17,4480.35,4484.14,1278
2026-05-27 10:20:00,4484.13,4489.17,4482.98,4486.44,1208
2026-05-27 10:25:00,4486.44,4487.17,4484.84,4486.26,1193
2026-05-27 10:30:00,4486.24,4488.68,4484.83,4485.67,1321
2026-05-27 10:35:00,4485.67,4486.41,4481.27,4483.0,1214
2026-05-27 10:40:00,4482.99,4484.61,4482.1,4482.77,1049
2026-05-27 10:45:00,4482.72,4484.02,4478.05,4479.68,1196
2026-05-27 10:50:00,4479.68,4480.48,4475.72,4479.21,1572
2026-05-27 10:55:00,4479.21,4482.47,4478.69,4482.01,1193
2026-05-27 11:00:00,4482.01,4489.24,4481.52,4486.56,1527
2026-05-27 11:05:00,4486.56,4487.61,4484.99,4485.91,1243
2026-05-27 11:10:00,4485.91,4487.09,4483.82,4486.34,1262
2026-05-27 11:15:00,4486.34,4490.76,4486.03,4489.8,1223
2026-05-27 11:20:00,4489.8,4492.73,4487.79,4490.75,1261
2026-05-27 11:25:00,4490.68,4491.04,4487.89,4489.12,1044
2026-05-27 11:30:00,4489.11,4489.54,4486.15,4488.57,989
2026-05-27 11:35:00,4488.57,4492.85,4488.41,4492.85,941
2026-05-27 11:40:00,4492.86,4496.71,4492.69,4496.16,1442
2026-05-27 11:45:00,4496.16,4497.35,4492.63,4496.48,1348
2026-05-27 11:50:00,4496.48,4498.76,4495.68,4498.23,1217
2026-05-27 11:55:00,4498.23,4498.35,4494.81,4497.86,920
2026-05-27 12:00:00,4497.86,4497.86,4491.07,4491.9,1267
2026-05-27 12:05:00,4491.9,4492.51,4488.69,4489.5,1059
2026-05-27 12:10:00,4489.5,4493.23,4489.35,4491.77,992
2026-05-27 12:15:00,4491.77,4495.25,4491.75,4494.62,1011
2026-05-27 12:20:00,4494.62,4495.18,4490.89,4491.04,888
2026-05-27 12:25:00,4491.04,4491.8,4489.39,4490.07,872
2026-05-27 12:30:00,4490.09,4490.77,4487.05,4490.72,1165
2026-05-27 12:35:00,4490.69,4492.24,4490.2,4491.31,775
2026-05-27 12:40:00,4491.34,4491.82,4488.48,4488.66,708
2026-05-27 12:45:00,4488.66,4489.93,4488.22,4489.62,638
2026-05-27 12:50:00,4489.62,4493.06,4489.58,4492.54,749
2026-05-27 12:55:00,4492.54,4493.25,4490.18,4490.21,675
2026-05-27 13:00:00,4490.21,4490.71,4485.03,4486.5,995
2026-05-27 13:05:00,4486.5,4489.13,4486.25,4487.13,839
2026-05-27 13:10:00,4487.13,4487.71,4484.31,4485.51,829
2026-05-27 13:15:00,4485.49,4486.38,4479.68,4479.78,986
2026-05-27 13:20:00,4479.78,4481.17,4478.12,4479.88,1119
2026-05-27 13:25:00,4479.88,4480.11,4476.45,4477.04,1243
2026-05-27 13:30:00,4477.04,4477.15,4472.5,4473.85,1465
2026-05-27 13:35:00,4473.87,4475.83,4462.14,4463.76,2184
2026-05-27 13:40:00,4463.76,4469.99,4462.66,4465.83,2270
2026-05-27 13:45:00,4465.66,4467.01,4444.28,4448.65,2921
2026-05-27 13:50:00,4448.65,4450.16,4442.86,4444.87,2483
2026-05-27 13:55:00,4444.87,4450.21,4442.77,4445.76,2481
2026-05-27 14:00:00,4445.76,4453.25,4445.3,4452.66,2017
2026-05-27 14:05:00,4452.66,4452.66,4446.53,4449.56,1696
2026-05-27 14:10:00,4449.59,4451.7,4443.58,4451.29,1934
2026-05-27 14:15:00,4451.26,4452.31,4447.86,4449.22,1552
2026-05-27 14:20:00,4449.22,4449.22,4440.31,4445.85,1853
2026-05-27 14:25:00,4445.84,4446.26,4439.72,4440.89,1708
2026-05-27 14:30:00,4440.89,4441.78,4432.37,4436.93,2308
2026-05-27 14:35:00,4436.93,4441.74,4434.87,4441.14,1761
2026-05-27 14:40:00,4441.15,4444.22,4438.48,4443.16,1315
2026-05-27 14:45:00,4443.16,4444.75,4439.09,4439.14,1308
2026-05-27 14:50:00,4439.14,4439.6,4433.52,4433.65,1832
2026-05-27 14:55:00,4433.7,4434.04,4424.99,4428.49,2301
2026-05-27 15:00:00,4428.45,4437.53,4428.25,4434.41,2228
2026-05-27 15:05:00,4434.41,4437.63,4431.89,4433.13,1555
2026-05-27 15:10:00,4433.13,4433.51,4428.91,4430.47,1698
2026-05-27 15:15:00,4430.47,4454.38,4427.44,4447.37,2958
2026-05-27 15:20:00,4447.37,4466.63,4442.35,4455.12,3260
2026-05-27 15:25:00,4455.1,4460.83,4453.06,4454.7,2556
2026-05-27 15:30:00,4454.65,4460.29,4445.62,4447.44,2359
2026-05-27 15:35:00,4447.44,4453.52,4444.81,4452.31,2209
2026-05-27 15:40:00,4452.31,4452.91,4446.16,4447.07,1950
2026-05-27 15:45:00,4447.05,4448.2,4442.5,4445.07,1808
2026-05-27 15:50:00,4445.05,4446.94,4441.11,4446.25,1780
2026-05-27 15:55:00,4446.25,4446.41,4437.61,4438.89,1721
2026-05-27 16:00:00,4438.89,4439.05,4429.56,4432.23,2556
2026-05-27 16:05:00,4432.21,4432.46,4411.7,4414.29,3170
2026-05-27 16:10:00,4414.31,4420.49,4411.26,4416.77,2843
2026-05-27 16:15:00,4416.6,4421.34,4409.78,4411.49,2576
2026-05-27 16:20:00,4411.58,4417.22,4405.89,4416.63,2461
2026-05-27 16:25:00,4416.63,4419.5,4401.52,4404.88,3007
2026-05-27 16:30:00,4404.88,4424.58,4404.6,4423.95,2988
2026-05-27 16:35:00,4423.91,4425.75,4412.46,4418.16,3010
2026-05-27 16:40:00,4418.16,4423.45,4416.66,4419.3,2581
2026-05-27 16:45:00,4419.3,4428.48,4418.45,4420.41,2319
2026-05-27 16:50:00,4420.57,4434.09,4419.41,4425.3,2473
2026-05-27 16:55:00,4425.37,4428.3,4423.69,4427.49,2459
2026-05-27 17:00:00,4427.5,4438.14,4426.06,4438.11,2401
2026-05-27 17:05:00,4438.11,4448.31,4436.72,4444.34,2658
2026-05-27 17:10:00,4444.34,4455.51,4443.31,4448.06,2518
2026-05-27 17:15:00,4448.06,4452.1,4447.09,4451.19,2476
2026-05-27 17:20:00,4451.26,4455.36,4442.85,4444.4,2959
2026-05-27 17:25:00,4444.46,4446.17,4440.08,4445.56,2444
2026-05-27 17:30:00,4445.56,4449.19,4435.58,4441.05,2666
2026-05-27 17:35:00,4441.05,4445.47,4439.74,4444.16,2077
2026-05-27 17:40:00,4444.16,4444.98,4440.2,4443.13,1796
2026-05-27 17:45:00,4443.13,4446.27,4438.31,4438.31,1773
2026-05-27 17:50:00,4438.31,4439.8,4436.72,4439.75,1921
2026-05-27 17:55:00,4439.72,4439.73,4433.21,4433.97,1892
2026-05-27 18:00:00,4433.97,4438.45,4430.34,4436.29,2041
2026-05-27 18:05:00,4436.29,4437.13,4428.66,4429.52,1903
2026-05-27 18:10:00,4429.52,4432.7,4428.15,4431.98,1675
2026-05-27 18:15:00,4432.04,4433.11,4429.75,4430.95,1641
2026-05-27 18:20:00,4430.94,4434.1,4429.88,4433.53,1546
2026-05-27 18:25:00,4433.52,4435.89,4432.58,4435.81,1369
2026-05-27 18:30:00,4435.81,4441.15,4435.81,4441.1,1358
2026-05-27 18:35:00,4441.36,4441.55,4437.19,4440.79,1910
2026-05-27 18:40:00,4440.79,4441.18,4433.06,4434.13,1558
2026-05-27 18:45:00,4434.08,4438.79,4431.45,4432.78,1969
2026-05-27 18:50:00,4432.78,4435.14,4430.99,4432.72,1522
2026-05-27 18:55:00,4432.72,4437.24,4432.53,4436.49,1336
2026-05-27 19:00:00,4436.51,4441.9,4434.84,4437.69,1479
2026-05-27 19:05:00,4437.7,4438.1,4434.17,4436.26,1178
2026-05-27 19:10:00,4436.25,4440.94,4436.06,4440.2,949
2026-05-27 19:15:00,4440.2,4443.16,4439.9,4441.86,1066
2026-05-27 19:20:00,4441.85,4444.23,4441.81,4444.18,1135
2026-05-27 19:25:00,4444.19,4447.69,4443.62,4446.79,1218
2026-05-27 19:30:00,4446.79,4449.64,4445.29,4448.39,1165
2026-05-27 19:35:00,4448.46,4450.87,4448.46,4449.8,1027
2026-05-27 19:40:00,4449.85,4453.22,4449.71,4450.78,1131
2026-05-27 19:45:00,4450.83,4452.81,4449.39,4452.06,1153
2026-05-27 19:50:00,4452.12,4453.29,4450.08,4450.72,1135
2026-05-27 19:55:00,4450.7,4451.44,4449.52,4450.85,1039
2026-05-27 20:00:00,4450.85,4451.03,4447.36,4449.25,1436
2026-05-27 20:05:00,4449.25,4451.63,4442.49,4443.02,1461
2026-05-27 20:10:00,4442.98,4445.73,4441.47,4444.12,1544
2026-05-27 20:15:00,4444.12,4447.49,4443.32,4446.86,1254
2026-05-27 20:20:00,4446.86,4448.29,4445.9,4446.64,1183
2026-05-27 20:25:00,4446.64,4451.29,4445.53,4449.85,1304
2026-05-27 20:30:00,4449.96,4453.34,4449.96,4452.05,1079
2026-05-27 20:35:00,4452.04,4454.31,4451.02,4451.07,1128
2026-05-27 20:40:00,4451.07,4452.1,4450.45,4450.68,980
2026-05-27 20:45:00,4450.68,4451.82,4450.07,4450.94,896
2026-05-27 20:50:00,4450.96,4453.77,4450.72,4452.89,963
2026-05-27 20:55:00,4452.92,4454.06,4450.37,4450.37,980
2026-05-27 21:00:00,4450.36,4452.11,4449.28,4449.54,1122
2026-05-27 21:05:00,4449.54,4450.11,4447.7,4448.06,1018
2026-05-27 21:10:00,4448.07,4450.11,4448.07,4450.11,779
2026-05-27 21:15:00,4450.11,4453.12,4449.9,4452.61,829
2026-05-27 21:20:00,4452.61,4458.54,4452.47,4454.98,1258
2026-05-27 21:25:00,4454.98,4455.93,4454.31,4455.53,998
2026-05-27 21:30:00,4455.53,4456.44,4452.37,4452.66,914
2026-05-27 21:35:00,4452.66,4453.43,4451.35,4453.07,681
2026-05-27 21:40:00,4453.07,4454.04,4452.94,4453.38,695
2026-05-27 21:45:00,4453.38,4453.6,4452.53,4453.39,670
2026-05-27 21:50:00,4453.39,4453.78,4452.41,4452.57,742
2026-05-27 21:55:00,4452.57,4455.0,4452.36,4454.36,694
2026-05-27 22:00:00,4454.36,4454.81,4451.94,4452.16,734
2026-05-27 22:05:00,4452.16,4453.27,4451.9,4452.74,681
2026-05-27 22:10:00,4452.74,4452.85,4450.58,4451.82,898
2026-05-27 22:15:00,4451.78,4452.34,4449.77,4450.04,884
2026-05-27 22:20:00,4450.06,4454.06,4450.02,4453.23,718
2026-05-27 22:25:00,4453.21,4453.24,4450.5,4451.06,945
2026-05-27 22:30:00,4451.06,4453.6,4449.72,4452.67,943
2026-05-27 22:35:00,4452.67,4454.69,4452.03,4454.65,861
2026-05-27 22:40:00,4454.68,4454.76,4453.18,4453.68,663
2026-05-27 22:45:00,4453.68,4453.76,4451.9,4452.05,586
2026-05-27 22:50:00,4452.06,4452.9,4450.69,4450.92,969
2026-05-27 22:55:00,4450.05,4450.98,4448.82,4450.95,993
2026-05-27 23:00:00,4450.83,4453.49,4450.07,4452.45,403
2026-05-27 23:05:00,4452.17,4453.36,4451.47,4452.87,275
2026-05-27 23:10:00,4452.8,4455.15,4452.33,4455.14,219
2026-05-27 23:15:00,4455.13,4458.77,4455.1,4458.09,370
2026-05-27 23:20:00,4458.14,4458.62,4455.94,4456.77,278
2026-05-27 23:25:00,4456.82,4456.87,4454.61,4454.92,210
2026-05-27 23:30:00,4454.85,4455.62,4454.43,4454.47,209
2026-05-27 23:35:00,4454.45,4454.46,4452.27,4452.36,164
2026-05-27 23:40:00,4452.33,4453.78,4451.52,4453.56,255
2026-05-27 23:45:00,4453.56,4454.53,4452.47,4454.13,264
2026-05-27 23:50:00,4454.23,4455.22,4454.0,4454.85,169
2026-05-27 23:55:00,4454.88,4456.34,4454.73,4456.23,161
2026-05-28 01:00:00,4453.3,4465.16,4450.79,4456.03,735
2026-05-28 01:05:00,4456.2,4462.05,4455.46,4458.58,586
2026-05-28 01:10:00,4458.88,4460.55,4457.31,4457.97,521
2026-05-28 01:15:00,4457.95,4460.44,4456.63,4459.56,478
2026-05-28 01:20:00,4459.56,4462.0,4457.71,4460.69,535
2026-05-28 01:25:00,4460.63,4461.79,4459.57,4459.87,451
2026-05-28 01:30:00,4459.86,4460.04,4455.29,4457.3,724
2026-05-28 01:35:00,4457.26,4461.85,4457.26,4461.47,626
2026-05-28 01:40:00,4461.47,4462.39,4458.12,4458.5,565
2026-05-28 01:45:00,4458.5,4458.85,4456.33,4456.58,531
2026-05-28 01:50:00,4456.58,4458.08,4455.51,4456.72,578
